name,color,speed_px_per_sec,contrast,mean_luminance,spatial_frequency_cpp,diagonal_inch,visual_radius_deg,trial_index,distance_m_tested,cpd_inv_tested,test_interval,observer_response,correct,quest_estimate_cpd_inv,quest_estimate_m,quest_sd_cpd_inv,retinal_spatial_freq_cpd,temporal_freq_hz
YanchengCai,ach,40,0.9,50,0.25,27,2.0,3,1.9905,-3.34644,2,2,1,-3.39192,2.074,0.20124,37.4758,10.0
YanchengCai,ach,40,0.9,50,0.25,27,2.0,4,1.9905,-3.34644,1,2,0,-3.22955,1.7859,0.20148,37.4758,10.0
YanchengCai,ach,40,0.9,50,0.25,27,2.0,5,1.9905,-3.34644,1,1,1,-3.26792,1.8515,0.19602,37.4758,10.0
YanchengCai,ach,40,0.9,50,0.25,27,2.0,6,1.8649,-3.27567,1,1,1,-3.30566,1.9175,0.1824,35.1479,10.0
YanchengCai,ach,40,0.9,50,0.25,27,2.0,7,1.8649,-3.27567,1,1,1,-3.33788,1.975,0.16732,35.1479,10.0
YanchengCai,ach,40,0.9,50,0.25,27,2.0,8,1.8649,-3.27567,1,1,1,-3.36444,2.0233,0.15256,35.1479,10.0
YanchengCai,ach,40,0.9,50,0.25,27,2.0,9,2.0189,-3.36207,2,2,1,-3.38939,2.0693,0.14333,38.0033,10.0
YanchengCai,ach,40,0.9,50,0.25,27,2.0,10,2.0189,-3.36207,2,1,0,-3.30607,1.9182,0.14494,38.0033,10.0
YanchengCai,ach,40,0.9,50,0.25,27,2.0,11,2.0189,-3.36207,2,2,1,-3.3279,1.9571,0.13625,38.0033,10.0
YanchengCai,ach,40,0.9,50,0.25,27,2.0,12,1.9708,-3.33551,2,2,1,-3.3483,1.9939,0.12614,37.1096,10.0
YanchengCai,ach,40,0.9,50,0.25,27,2.0,13,1.9708,-3.33551,2,2,1,-3.36623,2.0266,0.11689,37.1096,10.0
YanchengCai,ach,40,0.9,50,0.25,27,2.0,14,1.9708,-3.33551,1,1,1,-3.38192,2.0554,0.1088,37.1096,10.0
YanchengCai,ach,40,0.9,50,0.25,27,2.0,15,2.0517,-3.37992,2,2,1,-3.3965,2.0825,0.10377,38.6116,10.0
YanchengCai,ach,40,0.9,50,0.25,27,2.0,16,2.0517,-3.37992,1,1,1,-3.41007,2.1079,0.09952,38.6116,10.0
YanchengCai,ach,40,0.9,50,0.25,27,2.0,17,2.0517,-3.37992,2,2,1,-3.42269,2.1317,0.09599,38.6116,10.0
YanchengCai,ach,40,0.9,50,0.25,27,2.0,18,2.116,-3.41437,1,1,1,-3.43512,2.1553,0.09398,39.8043,10.0
YanchengCai,ach,40,0.9,50,0.25,27,2.0,19,2.116,-3.41437,2,2,1,-3.44708,2.1782,0.09232,39.8043,10.0
YanchengCai,ach,40,0.9,50,0.25,27,2.0,20,2.116,-3.41437,1,1,1,-3.45857,2.2003,0.09091,39.8043,10.0
YanchengCai,ach,40,0.9,50,0.25,27,2.0,21,2.175,-3.44539,2,2,1,-3.4704,2.2233,0.09036,40.8994,10.0
YanchengCai,ach,40,0.9,50,0.25,27,2.0,22,2.175,-3.44539,2,2,1,-3.48201,2.2459,0.08972,40.8994,10.0
YanchengCai,ach,40,0.9,50,0.25,27,2.0,23,2.175,-3.44539,1,2,0,-3.4372,2.1593,0.07818,40.8994,10.0
YanchengCai,ach,40,0.9,50,0.25,27,2.0,24,2.148,-3.4313,2,2,1,-3.44624,2.1766,0.07711,40.3997,10.0
YanchengCai,ach,40,0.9,50,0.25,27,2.0,25,2.148,-3.4313,1,2,0,-3.41674,2.1205,0.0724,40.3997,10.0
YanchengCai,ach,40,0.9,50,0.25,27,2.0,26,2.148,-3.4313,1,1,1,-3.4245,2.1351,0.07055,40.3997,10.0
YanchengCai,ach,40,0.9,50,0.25,27,2.0,27,2.1306,-3.42213,2,1,0,-3.40127,2.0914,0.0707,40.0765,10.0
YanchengCai,ach,40,0.9,50,0.25,27,2.0,28,2.1306,-3.42213,1,1,1,-3.40851,2.105,0.06818,40.0765,10.0
YanchengCai,ach,40,0.9,50,0.25,27,2.0,29,2.1306,-3.42213,1,1,1,-3.41543,2.118,0.06599,40.0765,10.0
YanchengCai,yv,400,0.92,50,0.05,27,2.0,0,2.14,-2.00416,2,1,0,-1.90434,1.8316,0.12227,8.05,20.0
YanchengCai,yv,400,0.92,50,0.05,27,2.0,1,2.14,-2.00416,1,1,1,-1.92526,1.8937,0.12768,8.05,20.0
YanchengCai,yv,400,0.92,50,0.05,27,2.0,2,2.14,-2.00416,2,1,0,-1.87675,1.7518,0.10342,8.05,20.0
YanchengCai,yv,400,0.92,50,0.05,27,2.0,3,1.6817,-1.85189,1,1,1,-1.89189,1.7953,0.10455,6.351,20.0
YanchengCai,yv,400,0.92,50,0.05,27,2.0,4,1.6817,-1.85189,2,2,1,-1.90682,1.8389,0.1045,6.351,20.0
